2023-10-10 09:38:46,691 INFO     preparing training data ...
2023-10-10 11:21:01,316 INFO     ==> pid: 0, No.30000 iter, test mrr=0.481222920451508, hits@1=0.3598, hits@3=0.5482, hits@10=0.7162
2023-10-10 11:24:15,008 INFO     ==> pid: 0, No.31000 iter, val mrr=0.4851638928325503
2023-10-10 11:24:39,537 INFO     ==> pid: 0, No.31000 iter, test mrr=0.48317638405209706, hits@1=0.3621, hits@3=0.5508, hits@10=0.7171
2023-10-10 11:28:00,674 INFO     ==> pid: 0, No.32000 iter, val mrr=0.48578522694621584
2023-10-10 11:28:33,735 INFO     ==> pid: 0, No.32000 iter, test mrr=0.48344896475058324, hits@1=0.3618, hits@3=0.5518, hits@10=0.7169
2023-10-10 11:31:42,129 INFO     ==> pid: 0, No.33000 iter, val mrr=0.48571181167141575
2023-10-10 11:34:46,755 INFO     ==> pid: 0, No.34000 iter, val mrr=0.4874414858401009
2023-10-10 11:35:17,483 INFO     ==> pid: 0, No.34000 iter, test mrr=0.4859270793519891, hits@1=0.3662, hits@3=0.5525, hits@10=0.7170
2023-10-10 11:38:28,289 INFO     ==> pid: 0, No.35000 iter, val mrr=0.48741586411172566
2023-10-10 11:41:24,455 INFO     ==> pid: 0, No.36000 iter, val mrr=0.4878779692560082
2023-10-10 11:42:02,403 INFO     ==> pid: 0, No.36000 iter, test mrr=0.4859498266180801, hits@1=0.3658, hits@3=0.5522, hits@10=0.7181
2023-10-10 11:45:03,654 INFO     ==> pid: 0, No.37000 iter, val mrr=0.48824592182100285
2023-10-10 11:45:40,510 INFO     ==> pid: 0, No.37000 iter, test mrr=0.4859839527734885, hits@1=0.3653, hits@3=0.5535, hits@10=0.7183
2023-10-10 11:48:04,056 INFO     ==> pid: 0, No.38000 iter, val mrr=0.48922178682352535
2023-10-10 11:48:41,360 INFO     ==> pid: 0, No.38000 iter, test mrr=0.48686761156313674, hits@1=0.3671, hits@3=0.5529, hits@10=0.7185
2023-10-10 11:51:12,777 INFO     ==> pid: 0, No.39000 iter, val mrr=0.48848942999317546
